"V1" "V2" "V3" "V4"
"12" "TMEM189" "GO:0005783" "endoplasmic reticulum" "The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"13" "TMEM189" "GO:0005789" "endoplasmic reticulum membrane" "The lipid bilayer surrounding the endoplasmic reticulum."
"14" "TMEM189" "GO:0016021" "integral component of membrane" "The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"15" "TMEM189" "GO:0016567" "protein ubiquitination" "The process in which one or more ubiquitin groups are added to a protein."
"16" "TMEM189" "GO:0031625" "ubiquitin protein ligase binding" "Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins."
"17" "TMEM189" "GO:0061630" "ubiquitin protein ligase activity" "Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S --> X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate. Note that this may include the extension of ubiquitin chains."
"18" "MYH7B" "GO:0003777" "microtubule motor activity" "Catalysis of movement along a microtubule, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP)."
"19" "MYH7B" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"20" "MYH7B" "GO:0005524" "ATP binding" "Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"21" "MYH7B" "GO:0007018" "microtubule-based movement" "A microtubule-based process that is mediated by motor proteins and results in the movement of organelles, other microtubules, or other particles along microtubules."
"22" "MYH7B" "GO:0008017" "microtubule binding" "Interacting selectively and non-covalently with microtubules, filaments composed of tubulin monomers."
"23" "MYH7B" "GO:0016020" "membrane" "A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"24" "MYH7B" "GO:0032982" "myosin filament" "A protein complex containing myosin heavy chains, plus associated light chains and other proteins, in which the myosin heavy chains are arranged into a filament."
"25" "MYH7B" "GO:0051015" "actin filament binding" "Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."
"26" "MYH7B" "GO:0097512" "cardiac myofibril" "A cardiac myofibril is a myofibril specific to cardiac muscle cells."
"27" "EFCAB8" "GO:0005509" "calcium ion binding" "Interacting selectively and non-covalently with calcium ions (Ca2+)."
"28" "ISM1" "GO:0005576" "extracellular region" "The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"29" "EYA2" "GO:0000287" "magnesium ion binding" "Interacting selectively and non-covalently with magnesium (Mg) ions."
"30" "EYA2" "GO:0004725" "protein tyrosine phosphatase activity" "Catalysis of the reaction: protein tyrosine phosphate + H2O = protein tyrosine + phosphate."
"31" "EYA2" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"32" "EYA2" "GO:0005634" "nucleus" "A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"33" "EYA2" "GO:0005654" "nucleoplasm" "That part of the nuclear content other than the chromosomes or the nucleolus."
"34" "EYA2" "GO:0005739" "mitochondrion" "A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"35" "EYA2" "GO:0005829" "cytosol" "The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"36" "EYA2" "GO:0006281" "DNA repair" "The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
"37" "EYA2" "GO:0006351" "transcription, DNA-templated" "The cellular synthesis of RNA on a template of DNA."
"38" "EYA2" "GO:0006355" "regulation of transcription, DNA-templated" "Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"39" "EYA2" "GO:0007501" "mesodermal cell fate specification" "The cell fate determination process in which a cell becomes capable of differentiating autonomously into a mesoderm cell in an environment that is neutral with respect to the developmental pathway; upon specification, the cell fate can be reversed."
"40" "EYA2" "GO:0008134" "transcription factor binding" "Interacting selectively and non-covalently with a transcription factor, any protein required to initiate or regulate transcription."
"41" "EYA2" "GO:0014706" "striated muscle tissue development" "The process whose specific outcome is the progression of a striated muscle over time, from its formation to the mature structure. Striated muscle contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle. Skeletal muscle myoblasts fuse to form myotubes and eventually multinucleated muscle fibers. The fusion of cardiac cells is very rare and can only form binucleate cells."
"42" "EYA2" "GO:0016576" "histone dephosphorylation" "The modification of histones by removal of phosphate groups."
"43" "EYA2" "GO:0035335" "peptidyl-tyrosine dephosphorylation" "The removal of phosphoric residues from peptidyl-O-phospho-tyrosine to form peptidyl-tyrosine."
"44" "EYA2" "GO:0045739" "positive regulation of DNA repair" "Any process that activates or increases the frequency, rate or extent of DNA repair."
"45" "EYA2" "GO:0097192" "extrinsic apoptotic signaling pathway in absence of ligand" "A series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with withdrawal of a ligand from a cell surface receptor, and ends when the execution phase of apoptosis is triggered."
"46" "EYA2" "GO:0097345" "mitochondrial outer membrane permeabilization" "The process by which the mitochondrial outer membrane becomes permeable to the passing of proteins and other molecules from the intermembrane space to the cytosol as part of the apoptotic signaling pathway."
"47" "EYA2" "GO:2001240" "negative regulation of extrinsic apoptotic signaling pathway in absence of ligand" "Any process that stops, prevents or reduces the frequency, rate or extent of extrinsic apoptotic signaling pathway in absence of ligand."
"48" "SIRPB1" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"49" "SIRPB1" "GO:0005886" "plasma membrane" "The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"50" "SIRPB1" "GO:0005887" "integral component of plasma membrane" "The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"51" "SIRPB1" "GO:0007165" "signal transduction" "The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"52" "SIRPB1" "GO:0007166" "cell surface receptor signaling pathway" "A series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."
"53" "SIRPB1" "GO:0030667" "secretory granule membrane" "The lipid bilayer surrounding a secretory granule."
"54" "SIRPB1" "GO:0043312" "neutrophil degranulation" "The regulated exocytosis of secretory granules containing preformed mediators such as proteases, lipases, and inflammatory mediators by a neutrophil."
"55" "SIRPB1" "GO:0045087" "innate immune response" "Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."
"56" "SIRPB1" "GO:0070062" "extracellular exosome" "A membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."
"57" "TAF4" "GO:0000790" "nuclear chromatin" "The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome in the nucleus."
"58" "TAF4" "GO:0001541" "ovarian follicle development" "The process whose specific outcome is the progression of the ovarian follicle over time, from its formation to the mature structure."
"59" "TAF4" "GO:0003677" "DNA binding" "Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"60" "TAF4" "GO:0003713" "transcription coactivator activity" "Interacting selectively and non-covalently with a activating transcription factor and also with the basal transcription machinery in order to increase the frequency, rate or extent of transcription. Cofactors generally do not bind the template nucleic acid, but rather mediate protein-protein interactions between activating transcription factors and the basal transcription machinery."
"61" "TAF4" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"62" "TAF4" "GO:0005654" "nucleoplasm" "That part of the nuclear content other than the chromosomes or the nucleolus."
"63" "TAF4" "GO:0005669" "transcription factor TFIID complex" "A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters."
"64" "TAF4" "GO:0005829" "cytosol" "The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"65" "TAF4" "GO:0006352" "DNA-templated transcription, initiation" "Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription."
"66" "TAF4" "GO:0006366" "transcription from RNA polymerase II promoter" "The synthesis of RNA from a DNA template by RNA polymerase II, originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."
"67" "TAF4" "GO:0006367" "transcription initiation from RNA polymerase II promoter" "Any process involved in the assembly of the RNA polymerase II preinitiation complex (PIC) at an RNA polymerase II promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription."
"68" "TAF4" "GO:0006368" "transcription elongation from RNA polymerase II promoter" "The extension of an RNA molecule after transcription initiation and promoter clearance at an RNA polymerase II promoter by the addition of ribonucleotides catalyzed by RNA polymerase II."
"69" "TAF4" "GO:0016032" "viral process" "A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle."
"70" "TAF4" "GO:0017162" "aryl hydrocarbon receptor binding" "Interacting selectively and non-covalently with an aryl hydrocarbon receptor."
"71" "TAF4" "GO:0032991" "macromolecular complex" "A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which the constituent parts function together."
"72" "TAF4" "GO:0033276" "transcription factor TFTC complex" "A protein complex that does not contain either a TATA-binding protein (TBP) or a TBP-like factor, but is composed of several TAFIIs and other proteins, including a histone acetyltransferase. This complex is able to nucleate transcription initiation by RNA polymerase II, can mediate transcriptional activation, and has histone acetyltransferase activity."
"73" "TAF4" "GO:0045893" "positive regulation of transcription, DNA-templated" "Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."
"74" "TAF4" "GO:0045944" "positive regulation of transcription from RNA polymerase II promoter" "Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."
"75" "TAF4" "GO:0046982" "protein heterodimerization activity" "Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer."
"76" "TAF4" "GO:0051123" "RNA polymerase II transcriptional preinitiation complex assembly" "The aggregation, arrangement and bonding together of proteins on an RNA polymerase II promoter DNA to form the transcriptional preinitiation complex (PIC), the formation of which is a prerequisite for transcription by RNA polymerase."
"77" "TAF4" "GO:0071339" "MLL1 complex" "A protein complex that can methylate lysine-4 of histone H3. MLL1/MLL is the catalytic methyltransferase subunit, and the complex also contains the core components ASH2L, HCFC1/HCF1 WDR5 and RBBP5."
"78" "TAF4" "GO:1901796" "regulation of signal transduction by p53 class mediator" "Any process that modulates the frequency, rate or extent of signal transduction by p53 class mediator."
"79" "TAF4" "GO:0001075" "transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly" "Interacting selectively and non-covalently with a specific DNA sequence in an RNA polymerase II (Pol II) core promoter, the region composed of the transcription start site and binding sites for transcription factors of the Pol II basal transcription machinery, in order to promote assembly of the transcriptional preinitiation complex (PIC), the formation of which is a prerequisite for transcription from an RNA polymerase II promoter."
"80" "TAF4" "GO:0003700" "transcription factor activity, sequence-specific DNA binding" "Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex."
"81" "NOP56" "GO:0000154" "rRNA modification" "The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically."
"82" "NOP56" "GO:0001650" "fibrillar center" "A structure found most metazoan nucleoli, but not usually found in lower eukaryotes; surrounded by the dense fibrillar component; the zone of transcription from multiple copies of the pre-rRNA genes is in the border region between these two structures."
"83" "NOP56" "GO:0003723" "RNA binding" "Interacting selectively and non-covalently with an RNA molecule or a portion thereof."
"84" "NOP56" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"85" "NOP56" "GO:0005654" "nucleoplasm" "That part of the nuclear content other than the chromosomes or the nucleolus."
"86" "NOP56" "GO:0005730" "nucleolus" "A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"87" "NOP56" "GO:0005732" "small nucleolar ribonucleoprotein complex" "A ribonucleoprotein complex that contains an RNA molecule of the small nucleolar RNA (snoRNA) family and associated proteins. Most are involved in a step of processing of rRNA: cleavage, 2'-O-methylation, or pseudouridylation. The majority, though not all, fall into one of two classes, box C/D type or box H/ACA type."
"88" "NOP56" "GO:0005737" "cytoplasm" "All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"89" "NOP56" "GO:0006364" "rRNA processing" "Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."
"90" "NOP56" "GO:0016020" "membrane" "A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"91" "NOP56" "GO:0030515" "snoRNA binding" "Interacting selectively and non-covalently with small nucleolar RNA."
"92" "NOP56" "GO:0031428" "box C/D snoRNP complex" "A ribonucleoprotein complex containing small nucleolar RNA of the box C/D type that can carry out ribose-2'-O-methylation of target RNAs."
"93" "NOP56" "GO:0032040" "small-subunit processome" "A large ribonucleoprotein complex that is an early preribosomal complex. In S. cerevisiae, it has a size of 80S and consists of the 35S pre-rRNA, early-associating ribosomal proteins most of which are part of the small ribosomal subunit, the U3 snoRNA and associated proteins."
"94" "NOP56" "GO:0045296" "cadherin binding" "Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion."
"95" "NOP56" "GO:0070761" "pre-snoRNP complex" "A ribonucleoprotein complex that contains a precursor small nucleolar RNA (pre-snoRNA) and associated proteins, and forms during small nucleolar ribonucleoprotein complex (snoRNP) assembly. Pre-snoRNP complexes may contain proteins not found in the corresponding mature snoRNP complexes."
"96" "NOP56" "GO:1990226" "histone methyltransferase binding" "Interacting selectively and non-covalently with a histone methyltransferase enzyme."
"97" "UBE2C" "GO:0000151" "ubiquitin ligase complex" "A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."
"98" "UBE2C" "GO:0004842" "ubiquitin-protein transferase activity" "Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y --> Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages."
"99" "UBE2C" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"100" "UBE2C" "GO:0005524" "ATP binding" "Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"101" "UBE2C" "GO:0005654" "nucleoplasm" "That part of the nuclear content other than the chromosomes or the nucleolus."
"102" "UBE2C" "GO:0005680" "anaphase-promoting complex" "A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis. Substrate recognition by APC occurs through degradation signals, the most common of which is termed the Dbox degradation motif, originally discovered in cyclin B."
"103" "UBE2C" "GO:0005737" "cytoplasm" "All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"104" "UBE2C" "GO:0005829" "cytosol" "The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"105" "UBE2C" "GO:0005886" "plasma membrane" "The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"106" "UBE2C" "GO:0006511" "ubiquitin-dependent protein catabolic process" "The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"107" "UBE2C" "GO:0010458" "exit from mitosis" "The cell cycle transition where a cell leaves M phase and enters a new G1 phase. M phase is the part of the mitotic cell cycle during which mitosis and cytokinesis take place."
"108" "UBE2C" "GO:0010994" "free ubiquitin chain polymerization" "The process of creating free ubiquitin chains, compounds composed of a large number of ubiquitin monomers. These chains are not conjugated to a protein."
"109" "UBE2C" "GO:0016567" "protein ubiquitination" "The process in which one or more ubiquitin groups are added to a protein."
"110" "UBE2C" "GO:0030071" "regulation of mitotic metaphase/anaphase transition" "Any process that modulates the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."
"111" "UBE2C" "GO:0031145" "anaphase-promoting complex-dependent catabolic process" "The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, with ubiquitin-protein ligation catalyzed by the anaphase-promoting complex, and mediated by the proteasome."
"112" "UBE2C" "GO:0031536" "positive regulation of exit from mitosis" "Any process that activates or increases the rate of progression from anaphase/telophase (high mitotic CDK activity) to G1 (low mitotic CDK activity)."
"113" "UBE2C" "GO:0031625" "ubiquitin protein ligase binding" "Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins."
"114" "UBE2C" "GO:0043161" "proteasome-mediated ubiquitin-dependent protein catabolic process" "The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."
"115" "UBE2C" "GO:0044389" "ubiquitin-like protein ligase binding" "Interacting selectively and non-covalently with a ubiquitin-like protein ligase, such as ubiquitin-ligase."
"116" "UBE2C" "GO:0051301" "cell division" "The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."
"117" "UBE2C" "GO:0051436" "negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle" "Any process that stops, prevents, or reduces the frequency, rate or extent of ubiquitin ligase activity that contributes to the mitotic cell cycle."
"118" "UBE2C" "GO:0051437" "positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition" "Any process that activates, maintains or increases the rate of ubiquitin ligase activity that contributes to the regulation of the mitotic cell cycle phase transition."
"119" "UBE2C" "GO:0051439" "regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle" "A cell cycle process that modulates the frequency, rate or extent of ubiquitin ligase activity that contributes to the mitotic cell cycle."
"120" "UBE2C" "GO:0061630" "ubiquitin protein ligase activity" "Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S --> X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate. Note that this may include the extension of ubiquitin chains."
"121" "UBE2C" "GO:0061631" "ubiquitin conjugating enzyme activity" "Isoenergetic transfer of ubiquitin from one protein to another via the reaction X-ubiquitin + Y -> Y-ubiquitin + X, where both the X-ubiquitin and Y-ubiquitin linkages are thioester bonds between the C-terminal glycine of ubiquitin and a sulfhydryl side group of a cysteine residue."
"122" "UBE2C" "GO:0070936" "protein K48-linked ubiquitination" "A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is added to a protein. K48-linked ubiquitination targets the substrate protein for degradation."
"123" "UBE2C" "GO:0070979" "protein K11-linked ubiquitination" "A protein ubiquitination process in which ubiquitin monomers are attached to a protein, and then ubiquitin polymers are formed by linkages between lysine residues at position 11 of the ubiquitin monomers. K11-linked polyubiquitination targets the substrate protein for degradation. The anaphase-promoting complex promotes the degradation of mitotic regulators by assembling K11-linked polyubiquitin chains."
"124" "UBE2C" "GO:1904668" "positive regulation of ubiquitin protein ligase activity" "Any process that activates or increases the frequency, rate or extent of ubiquitin protein ligase activity."
"125" "PTPRT" "GO:0004725" "protein tyrosine phosphatase activity" "Catalysis of the reaction: protein tyrosine phosphate + H2O = protein tyrosine + phosphate."
"126" "PTPRT" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"127" "PTPRT" "GO:0005886" "plasma membrane" "The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"128" "PTPRT" "GO:0006470" "protein dephosphorylation" "The process of removing one or more phosphoric residues from a protein."
"129" "PTPRT" "GO:0007155" "cell adhesion" "The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."
"130" "PTPRT" "GO:0007156" "homophilic cell adhesion via plasma membrane adhesion molecules" "The attachment of a plasma membrane adhesion molecule in one cell to an identical molecule in an adjacent cell."
"131" "PTPRT" "GO:0007165" "signal transduction" "The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"132" "PTPRT" "GO:0007169" "transmembrane receptor protein tyrosine kinase signaling pathway" "A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription."
"133" "PTPRT" "GO:0008013" "beta-catenin binding" "Interacting selectively and non-covalently with the beta subunit of the catenin complex."
"134" "PTPRT" "GO:0009986" "cell surface" "The external part of the cell wall and/or plasma membrane."
"135" "PTPRT" "GO:0016021" "integral component of membrane" "The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"136" "PTPRT" "GO:0035335" "peptidyl-tyrosine dephosphorylation" "The removal of phosphoric residues from peptidyl-O-phospho-tyrosine to form peptidyl-tyrosine."
"137" "PTPRT" "GO:0045294" "alpha-catenin binding" "Interacting selectively and non-covalently with the alpha subunit of the catenin complex."
"138" "PTPRT" "GO:0045295" "gamma-catenin binding" "Interacting selectively and non-covalently with the gamma subunit of the catenin complex."
"139" "PTPRT" "GO:0045296" "cadherin binding" "Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion."
"140" "PTPRT" "GO:0070097" "delta-catenin binding" "Interacting selectively and non-covalently with the delta subunit of the catenin complex."
"141" "STX16" "GO:0000139" "Golgi membrane" "The lipid bilayer surrounding any of the compartments of the Golgi apparatus."
"142" "STX16" "GO:0005484" "SNAP receptor activity" "Acting as a marker to identify a membrane and interacting selectively with one or more SNAREs on another membrane to mediate membrane fusion."
"143" "STX16" "GO:0005515" "protein binding" "Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
