Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	HGNC symbol	Gene type
ENSG00000226649	3156756	3157797	1		lincRNA
ENSG00000032389	3188925	3377882	-1	EIPR1	protein_coding
ENSG00000224885	3298341	3301465	-1	EIPR1-IT1	sense_intronic
ENSG00000171853	3379675	3485094	1	TRAPPC12	protein_coding
ENSG00000225234	3481242	3482409	-1	TRAPPC12-AS1	antisense_RNA
ENSG00000271868	3496956	3497428	1		lincRNA
ENSG00000182551	3497361	3519736	-1	ADI1	protein_coding
ENSG00000235078	3519275	3523197	1		antisense_RNA
ENSG00000242282	3531813	3536873	-1		lincRNA
ENSG00000255767	3531984	3547957	-1		protein_coding
ENSG00000171865	3544793	3558616	-1	RNASEH1	protein_coding
ENSG00000234171	3558492	3561745	1	RNASEH1-AS1	antisense_RNA
ENSG00000171863	3575205	3580919	1	RPS7	protein_coding
ENSG00000118004	3594832	3644644	1	COLEC11	protein_coding
ENSG00000237370	3603397	3604242	-1		antisense_RNA
ENSG00000188765	3617548	3617757	-1	TMSB4XP2	unprocessed_pseudogene
ENSG00000151360	3658195	3702671	1	ALLC	protein_coding
ENSG00000232718	3688021	3688981	-1	GAPDHP48	processed_pseudogene
ENSG00000224661	3702585	3704153	-1		antisense_RNA
ENSG00000214866	3703592	3847411	1	DCDC2C	protein_coding
ENSG00000237401	3957655	3974070	-1	LINC01304	lincRNA
ENSG00000229550	4136644	4140731	-1		lincRNA
ENSG00000231821	4514204	4515056	-1	NPM1P48	processed_pseudogene
ENSG00000231532	4628222	4656215	-1	LINC01249	lincRNA
ENSG00000252238	4827001	4827084	-1		snoRNA
ENSG00000207192	4945277	4945383	1	RNU6-649P	snRNA
ENSG00000228585	5313740	5314134	-1		processed_pseudogene
ENSG00000232835	5549780	5556031	-1		lincRNA
ENSG00000224128	5602505	5691488	-1	LINC01248	antisense_RNA
ENSG00000230090	5618327	5691118	-1		processed_transcript
ENSG00000176887	5692667	5701385	1	SOX11	protein_coding
ENSG00000242540	5696220	5708095	1		3prime_overlapping_ncRNA
ENSG00000236106	5726449	5730342	1		lincRNA
ENSG00000237266	5810641	5812596	-1	LINC01810	lincRNA
ENSG00000232044	5932687	6001275	1	LINC01105	processed_transcript
ENSG00000276733	5974662	5974732	1	MIR7158	miRNA
ENSG00000234275	6312954	6325646	-1		lincRNA
ENSG00000227007	6366010	6375422	-1	LINC01247	lincRNA
ENSG00000231610	6495877	6496798	-1	PIK3CDP1	processed_pseudogene
ENSG00000226488	6496003	6503806	1	LINC01824	lincRNA
ENSG00000236172	6615389	6650535	-1	MIR7515HG	lincRNA
ENSG00000283394	6650373	6650439	1	MIR7515	miRNA
ENSG00000205837	6728177	6770311	-1	LINC00487	lincRNA
ENSG00000225964	6828514	6840464	-1	NRIR	antisense_RNA
ENSG00000134326	6840570	6866635	-1	CMPK2	protein_coding
ENSG00000134321	6865806	6898239	1	RSAD2	protein_coding
ENSG00000271947	6905724	6906301	-1		lincRNA
ENSG00000228203	6912277	6918709	-1	RNF144A-AS1	processed_transcript
ENSG00000151692	6917392	7068286	1	RNF144A	protein_coding
ENSG00000223884	7062727	7077880	-1		antisense_RNA
ENSG00000223145	7141227	7141544	-1	RN7SKP112	misc_RNA
ENSG00000272002	7260871	7261504	1		lincRNA
ENSG00000213774	7324748	7325062	-1		processed_pseudogene
ENSG00000229727	7421261	7450254	1		processed_transcript
ENSG00000221255	7576841	7576971	1	RNU6ATAC37P	snRNA
ENSG00000230515	7671604	7672246	-1		lincRNA
ENSG00000235576	7725801	7730705	1	LINC01871	lincRNA
ENSG00000232979	7735645	7735783	-1		processed_pseudogene
ENSG00000229405	7736438	7737095	-1		processed_pseudogene
ENSG00000226506	7886770	7899655	-1		lincRNA
ENSG00000235665	7922425	8278084	-1	LINC00298	lincRNA
ENSG00000236790	8007771	8383621	-1	LINC00299	lincRNA
ENSG00000229740	8139402	8143269	1		lincRNA
ENSG00000231435	8543592	8575501	-1		lincRNA
ENSG00000236008	8559833	8583792	-1	LINC01814	lincRNA
ENSG00000231083	8600892	8622942	-1		lincRNA
ENSG00000225642	8603082	8603359	1	SNRPEP5	processed_pseudogene
ENSG00000235092	8666636	8681863	-1	ID2-AS1	antisense_RNA
ENSG00000115738	8678845	8684453	1	ID2	protein_coding
ENSG00000134313	8721081	8837630	-1	KIDINS220	protein_coding
ENSG00000143797	8852690	9003813	-1	MBOAT2	protein_coding
ENSG00000230886	9018293	9018899	-1	HMGB1P25	processed_pseudogene
ENSG00000223640	9081395	9081727	-1	RPL30P3	processed_pseudogene
ENSG00000242136	9103440	9105114	1		processed_transcript
ENSG00000261104	9106593	9109865	1		lincRNA
ENSG00000244310	9115197	9116884	1		lincRNA
ENSG00000240980	9143166	9146106	1		lincRNA
ENSG00000151693	9206765	9405683	1	ASAP2	protein_coding
ENSG00000213772	9271292	9271628	-1	EIF1P7	processed_pseudogene
ENSG00000119185	9403475	9423547	-1	ITGB1BP1	protein_coding
ENSG00000119203	9423568	9473101	1	CPSF3	protein_coding
ENSG00000134330	9473658	9496543	1	IAH1	protein_coding
ENSG00000151694	9488486	9555792	-1	ADAM17	protein_coding
ENSG00000239300	9505445	9512412	1		antisense_RNA
ENSG00000271855	9555899	9556775	1		lincRNA
ENSG00000134308	9583972	9631014	-1	YWHAQ	protein_coding
ENSG00000207086	9615267	9615373	1		misc_RNA
ENSG00000240687	9638772	9649439	1		lincRNA
ENSG00000244260	9674023	9708413	1		lincRNA
ENSG00000200034	9740643	9740783	-1	RNU4-73P	snRNA
ENSG00000240960	9746704	9746869	1		processed_pseudogene
ENSG00000243491	9757496	9770341	-1		lincRNA
ENSG00000115750	9843354	9934416	1	TAF1B	protein_coding
ENSG00000269973	9936360	9939590	1		lincRNA
ENSG00000134317	9951693	10002277	1	GRHL1	protein_coding
ENSG00000188525	10003158	10006030	-1		antisense_RNA
ENSG00000260476	10021578	10022825	1		lincRNA
ENSG00000260077	10039092	10040663	-1		lincRNA
ENSG00000172059	10042849	10054836	1	KLF11	protein_coding
ENSG00000271787	10054421	10054866	-1		antisense_RNA
ENSG00000205795	10056780	10080944	-1	CYS1	protein_coding
ENSG00000233502	10083781	10086101	1		lincRNA
ENSG00000212558	10090205	10090319	-1		snoRNA
ENSG00000171848	10120698	10131419	1	RRM2	protein_coding
ENSG00000284681	10122739	10199288	1		protein_coding
ENSG00000163009	10141382	10211725	1	C2orf48	lincRNA
ENSG00000206647	10155072	10155206	-1		snoRNA
ENSG00000265418	10192614	10192671	-1	MIR4261	miRNA
ENSG00000264030	10280628	10280891	1	RN7SL66P	misc_RNA
ENSG00000206898	10296047	10296180	-1		snoRNA
ENSG00000115756	10302889	10427617	1	HPCAL1	protein_coding
ENSG00000115758	10439968	10448504	-1	ODC1	protein_coding
ENSG00000206633	10446714	10446849	-1	SNORA80B	snoRNA
ENSG00000257135	10448694	10451327	1		lincRNA
ENSG00000217258	10452319	10455552	1		lincRNA
ENSG00000115761	10570766	10689987	-1	NOL10	protein_coding
ENSG00000234818	10589166	10604830	1		antisense_RNA
ENSG00000243819	10690344	10692099	1	RN7SL832P	lincRNA
ENSG00000277446	10691538	10691831	1		misc_RNA
ENSG00000236162	10717773	10720952	1		lincRNA
ENSG00000143882	10721649	10785110	1	ATP6V1C2	protein_coding
ENSG00000239053	10744186	10744249	1	RNU7-138P	snRNA
ENSG00000272275	10767875	10770058	-1		lincRNA
ENSG00000143870	10783391	10837977	-1	PDIA6	protein_coding
ENSG00000238962	10815485	10815546	-1	RNU7-176P	snRNA
ENSG00000232056	10847577	10854955	1		lincRNA
ENSG00000270488	10874291	10874567	-1		processed_pseudogene
ENSG00000271952	10878269	10885118	1	LINC01954	lincRNA
ENSG00000162975	10911937	10914225	1	KCNF1	protein_coding
ENSG00000226080	11102142	11102997	1		processed_pseudogene
ENSG00000145063	11105317	11132821	-1		lincRNA
ENSG00000150873	11133053	11146790	1	C2orf50	protein_coding
ENSG00000162976	11155198	11178874	1	PQLC3	protein_coding
ENSG00000134318	11179761	11348330	-1	ROCK2	protein_coding
ENSG00000207267	11233988	11234094	1	RNU6-1081P	snRNA
ENSG00000230154	11308025	11308941	1		processed_pseudogene
ENSG00000226961	11351627	11352118	1	PPIAP60	processed_pseudogene
ENSG00000230952	11357515	11365636	-1		lincRNA
ENSG00000231403	11388023	11390367	-1		lincRNA
ENSG00000224177	11393981	11403077	1	LINC00570	lincRNA
ENSG00000169016	11444375	11466177	-1	E2F6	protein_coding
ENSG00000196208	11482341	11642788	1	GREB1	protein_coding
ENSG00000201610	11517397	11517503	1	RNA5SP84	rRNA
ENSG00000264010	11540605	11540677	-1	MIR4429	miRNA
ENSG00000251718	11561194	11561306	1	RNU2-13P	snRNA
ENSG00000202248	11561661	11561779	-1	RNA5SP85	rRNA
ENSG00000239899	11584773	11585047	1	RN7SL674P	misc_RNA
ENSG00000169006	11658178	11670164	-1	NTSR2	protein_coding
ENSG00000230044	11665369	11665969	-1		processed_pseudogene
ENSG00000276411	11673964	11676925	-1		lincRNA
ENSG00000134324	11677595	11827409	1	LPIN1	protein_coding
ENSG00000228496	11681460	11683328	1		sense_intronic
ENSG00000203643	11721619	11724222	-1		antisense_RNA
ENSG00000230790	11740997	11745301	-1		antisense_RNA
ENSG00000265056	11767444	11767525	1	MIR548S	miRNA
ENSG00000265172	11836933	11836986	-1	MIR4262	miRNA
ENSG00000224184	11848622	12578348	1	MIR3681HG	lincRNA
ENSG00000238503	12030303	12030372	-1		snoRNA
ENSG00000264089	12199130	12199201	1	MIR3681	miRNA
ENSG00000207183	12411398	12411501	-1	RNU6-843P	snRNA
ENSG00000223360	12598987	12605145	1		lincRNA
ENSG00000261117	12715415	12716227	1		lincRNA
ENSG00000071575	12716889	12742734	1	TRIB2	protein_coding
ENSG00000264370	12737367	12737444	1	MIR3125	miRNA
ENSG00000225649	12966784	13007013	-1		processed_transcript
ENSG00000229370	13537673	13609168	1		lincRNA
ENSG00000230448	13710531	14400963	-1	LINC00276	lincRNA
ENSG00000227718	13723048	13758152	1		lincRNA
ENSG00000251859	14274622	14274725	-1	RNU6-1288P	snRNA
ENSG00000237261	14530941	14531223	1		misc_RNA
ENSG00000228505	14616428	14630192	1		lincRNA
ENSG00000162981	14632686	14650814	1	FAM84A	protein_coding
ENSG00000235127	14886647	14907664	-1		lincRNA
ENSG00000151779	15166909	15561330	-1	NBAS	protein_coding
ENSG00000229087	15397435	15397782	-1		processed_pseudogene
ENSG00000234022	15564170	15573868	1		antisense_RNA
ENSG00000079785	15591178	15631111	1	DDX1	protein_coding
ENSG00000224194	15668684	15680484	-1		antisense_RNA
ENSG00000231031	15690782	15744339	1	LINC01804	lincRNA
ENSG00000237326	15801747	15810877	-1		lincRNA
ENSG00000202160	15864935	15865051	1	RNU5E-7P	snRNA
ENSG00000214657	15869939	15870243	1		processed_pseudogene
ENSG00000238371	15903669	15903772	1		snoRNA
ENSG00000223850	15920399	15936017	1	MYCNUT	lincRNA
ENSG00000233718	15921037	15942249	-1	MYCNOS	antisense_RNA
ENSG00000134323	15940564	15947007	1	MYCN	protein_coding
ENSG00000243541	15950689	15950981	-1	RN7SL104P	misc_RNA
ENSG00000226764	15997049	16062885	-1		lincRNA
ENSG00000236289	16050427	16085801	1	GACAT3	lincRNA
ENSG00000236989	16085222	16105841	-1		lincRNA
ENSG00000271315	16149251	16149394	1		processed_pseudogene
ENSG00000251704	16199203	16199295	1		snoRNA
ENSG00000226041	16202430	16204226	1		lincRNA
ENSG00000228876	16224047	16229140	1		lincRNA
ENSG00000231266	16227027	16228194	-1		lincRNA
ENSG00000232444	16316324	16319566	-1		lincRNA
ENSG00000224400	16354256	16432702	1		lincRNA
ENSG00000237633	16523176	16529387	1		antisense_RNA
ENSG00000279663	16541690	16545695	-1		TEC
ENSG00000197872	16549459	16666331	-1	FAM49A	protein_coding
ENSG00000223536	16728124	16767555	1		lincRNA
ENSG00000224604	16853820	16855284	-1		processed_pseudogene
ENSG00000237670	16970034	16974497	1	LINC01866	lincRNA
ENSG00000222842	17122841	17123140	-1	RN7SKP168	misc_RNA
ENSG00000214843	17284292	17284895	1	ZFYVE9P2	processed_pseudogene
ENSG00000236348	17385091	17386417	1	PSMC1P10	processed_pseudogene
ENSG00000214842	17510584	17518439	-1	RAD51AP2	protein_coding
ENSG00000163032	17539126	17657018	1	VSNL1	protein_coding
ENSG00000163029	17663812	17800242	-1	SMC6	protein_coding
ENSG00000178295	17753858	17788941	1	GEN1	protein_coding
ENSG00000151379	17816496	17817101	1	MSGN1	protein_coding
ENSG00000170745	17877847	18361616	1	KCNS3	protein_coding
ENSG00000212455	18040606	18040733	-1		snoRNA
ENSG00000260331	18547386	18548204	-1		lincRNA
ENSG00000240857	18554723	18560680	-1	RDH14	protein_coding
ENSG00000250741	18555545	18589564	-1	NT5C1B-RDH14	protein_coding
ENSG00000185013	18562872	18589572	-1	NT5C1B	protein_coding
ENSG00000207170	18583367	18583468	-1	RNU6-1215P	snRNA
ENSG00000224626	18784807	18787752	1		lincRNA
ENSG00000236204	18986451	19346748	-1	LINC01376	lincRNA
ENSG00000266738	19348429	19348505	1	MIR4757	miRNA
ENSG00000143867	19351485	19358653	-1	OSR1	protein_coding
ENSG00000234597	19458220	19468961	-1		lincRNA
ENSG00000237992	19468997	19520095	1	LINC01808	lincRNA
ENSG00000235911	19711715	19717576	1		lincRNA
ENSG00000213403	19826249	19826575	1	CISD1P1	processed_pseudogene
ENSG00000228784	19868860	19885047	1	LINC00954	lincRNA
ENSG00000183891	19896643	19901986	-1	TTC32	protein_coding
ENSG00000271991	19902025	19902569	1		lincRNA
ENSG00000118965	19910260	19990131	-1	WDR35	protein_coding
ENSG00000227210	19990217	20004210	1		antisense_RNA
ENSG00000132031	19992111	20012694	-1	MATN3	protein_coding
ENSG00000068697	20032650	20052028	-1	LAPTM4A	protein_coding
ENSG00000223734	20052134	20054496	1		lincRNA
ENSG00000234378	20063856	20106829	-1		lincRNA
ENSG00000213729	20155618	20156057	-1		processed_pseudogene
ENSG00000266059	20175346	20175639	1	RN7SL140P	misc_RNA
ENSG00000200763	20175805	20175909	1	RNU6-961P	snRNA
ENSG00000115884	20200797	20225433	-1	SDC1	protein_coding
ENSG00000235411	20239892	20241046	-1		processed_pseudogene
ENSG00000238735	20246326	20246387	-1	RNU7-113P	snRNA
ENSG00000055917	20248691	20352234	-1	PUM2	protein_coding
ENSG00000232800	20386386	20396588	1	SLC7A15P	unitary_pseudogene
ENSG00000212171	20401627	20401724	-1	RNA5SP86	rRNA
ENSG00000143878	20447074	20449445	1	RHOB	protein_coding
ENSG00000228950	20451042	20452947	1		lincRNA
ENSG00000200829	20480844	20480955	1		misc_RNA
ENSG00000227047	20499571	20501311	-1		lincRNA
ENSG00000279307	20529467	20529976	-1		processed_pseudogene
ENSG00000118960	20560448	20651089	-1	HS1BP3	protein_coding
ENSG00000269976	20586248	20586686	-1		lincRNA
ENSG00000231948	20590775	20592548	-1	HS1BP3-IT1	sense_intronic
ENSG00000233416	20606280	20606654	-1		processed_pseudogene
ENSG00000143869	20666664	20679245	1	GDF7	protein_coding
ENSG00000270100	20678254	20678932	-1		lincRNA
ENSG00000118961	20684014	20823130	-1	LDAH	protein_coding
ENSG00000236436	20859771	20861661	1		lincRNA
ENSG00000261012	20999313	21000917	-1		lincRNA
ENSG00000084674	21001429	21044073	-1	APOB	protein_coding
ENSG00000280390	21023496	21024170	1		TEC
ENSG00000218819	21123917	21143272	1	TDRD15	protein_coding
ENSG00000271629	21198518	21198896	-1		processed_pseudogene
ENSG00000233005	21221175	21970959	1		lincRNA
ENSG00000231204	21317660	21561313	1		lincRNA
ENSG00000270654	21362292	21364025	-1	NUTF2P8	processed_pseudogene
ENSG00000235537	21630548	21636309	-1		lincRNA
ENSG00000228538	21638431	21649563	-1		lincRNA
ENSG00000229621	21687434	21710623	-1	LINC01822	lincRNA
ENSG00000264192	21922993	21923288	1	RN7SL117P	misc_RNA
ENSG00000231200	21933336	22531105	-1	LINC01830	lincRNA
ENSG00000228999	21942178	21965680	-1		lincRNA
ENSG00000223691	22188336	22190313	1		processed_pseudogene
ENSG00000234189	22317053	22317244	1		processed_pseudogene
ENSG00000206882	22338886	22339003	-1	RNA5SP87	rRNA
ENSG00000234207	22377594	22482004	1		lincRNA
ENSG00000233587	22536479	22538288	1	LINC01884	lincRNA
ENSG00000222616	22861552	22861884	1	RN7SKP27	misc_RNA
ENSG00000232451	23018125	23199056	-1		lincRNA
ENSG00000223530	23330664	23332044	-1		lincRNA
ENSG00000233714	23347654	23351864	1		lincRNA
ENSG00000223634	23357516	23360376	-1		lincRNA
ENSG00000235497	23375229	23381299	-1		lincRNA
ENSG00000119771	23385217	23708611	1	KLHL29	protein_coding
ENSG00000224361	23507043	23524344	-1		antisense_RNA
ENSG00000279526	23616499	23617987	-1		TEC
ENSG00000283031	23667208	23685453	-1		lincRNA
ENSG00000119778	23748664	23927114	-1	ATAD2B	protein_coding
ENSG00000224464	23872268	23873014	-1	PGAM1P6	processed_pseudogene
ENSG00000238111	23900693	23901149	1		processed_pseudogene
ENSG00000173960	23927285	24004909	1	UBXN2A	protein_coding
ENSG00000234946	23943846	23944351	1	SDHCP3	processed_pseudogene
ENSG00000243847	23996795	23997085	-1	RN7SL610P	misc_RNA
ENSG00000205639	24010081	24063321	1	MFSD2B	protein_coding
ENSG00000163026	24029340	24049575	-1	WDCP	protein_coding
ENSG00000222940	24045835	24045938	1	RNU6-370P	snRNA
ENSG00000119782	24049701	24063681	1	FKBP1B	protein_coding
ENSG00000115128	24067584	24076443	-1	SF3B6	protein_coding
ENSG00000219626	24076526	24169640	1	FAM228B	protein_coding
ENSG00000115129	24077433	24085861	-1	TP53I3	protein_coding
ENSG00000176732	24115371	24123477	-1	PFN4	protein_coding
ENSG00000276087	24124366	24190436	1		protein_coding
ENSG00000232642	24165884	24175005	-1		antisense_RNA
ENSG00000186453	24175069	24200849	1	FAM228A	protein_coding
ENSG00000223754	24199839	24201698	-1		antisense_RNA
ENSG00000198399	24202864	24360714	-1	ITSN2	protein_coding
ENSG00000242628	24214381	24221516	1		antisense_RNA
ENSG00000251805	24273614	24273741	-1		scaRNA
ENSG00000232963	24330402	24330674	1	HMGN2P20	processed_pseudogene
ENSG00000233747	24334512	24335152	1	RPL36AP13	processed_pseudogene
ENSG00000084676	24491914	24770702	1	NCOA1	protein_coding
ENSG00000202430	24564630	24564738	-1	RNA5SP88	rRNA
ENSG00000206732	24676309	24676415	1	RNU6-936P	snRNA
ENSG00000184924	24789734	24793382	-1	PTRHD1	protein_coding
ENSG00000138092	24793136	24822376	1	CENPO	protein_coding
ENSG00000138031	24819169	24919839	-1	ADCY3	protein_coding
ENSG00000271936	24825610	24826717	1		antisense_RNA
ENSG00000115137	24943636	24972094	-1	DNAJC27	protein_coding
ENSG00000237953	24968958	24969224	-1		processed_pseudogene
ENSG00000202479	24969388	24969477	-1		snoRNA
ENSG00000224165	24971390	25039694	1	DNAJC27-AS1	antisense_RNA
ENSG00000207069	25008845	25008946	-1		misc_RNA
ENSG00000084710	25042130	25159137	1	EFR3B	protein_coding
ENSG00000276653	25058032	25058329	1	RN7SL856P	misc_RNA
ENSG00000229593	25079901	25081689	-1	SUCLA2P3	processed_pseudogene
ENSG00000115138	25160853	25168903	-1	POMC	protein_coding
ENSG00000230452	25204313	25209202	1	LINC01381	antisense_RNA
ENSG00000119772	25227855	25342590	-1	DNMT3A	protein_coding
ENSG00000221445	25328640	25328721	-1	MIR1301	miRNA
ENSG00000235072	25369136	25375845	-1		lincRNA
ENSG00000138101	25377198	25673647	-1	DTNB	protein_coding
ENSG00000224220	25421117	25427643	1		antisense_RNA
ENSG00000201160	25697076	25697188	-1		misc_RNA
ENSG00000143970	25733753	25878516	-1	ASXL2	protein_coding
ENSG00000187536	25809925	25810656	-1	TPM3P7	processed_pseudogene
ENSG00000217643	25822469	25822950	1	PTGES3P2	processed_pseudogene
ENSG00000218682	25856461	25856966	-1		processed_pseudogene
ENSG00000217718	25886964	25887206	-1	NDUFB4P4	processed_pseudogene
ENSG00000084731	25926596	25982749	-1	KIF3C	protein_coding
ENSG00000237629	25994794	25995081	1	UQCRHP2	processed_pseudogene
ENSG00000268412	26028208	26028612	-1	TRMT112P6	processed_pseudogene
ENSG00000084733	26034107	26137454	1	RAB10	protein_coding
ENSG00000199872	26042675	26042781	1	RNU6-942P	snRNA
ENSG00000235440	26101317	26102136	-1		processed_pseudogene
ENSG00000231655	26140263	26141264	-1		processed_pseudogene
ENSG00000214465	26149204	26150731	1	SMARCE1P6	processed_pseudogene
ENSG00000227133	26160023	26161136	1		processed_pseudogene
ENSG00000237951	26162056	26162554	1	PPIL1P1	processed_pseudogene
ENSG00000157833	26173091	26189663	1	GAREM2	protein_coding
ENSG00000084754	26190635	26244726	-1	HADHA	protein_coding
ENSG00000138029	26243170	26290468	1	HADHB	protein_coding
ENSG00000173567	26308173	26346817	-1	ADGRF3	protein_coding
ENSG00000138018	26308547	26395891	1	SELENOI	protein_coding
ENSG00000157856	26401916	26456711	1	DRC1	protein_coding
ENSG00000115155	26457203	26558698	-1	OTOF	protein_coding
ENSG00000173557	26562582	26579532	1	C2orf70	protein_coding
ENSG00000157884	26581202	26641368	-1	CIB4	protein_coding
ENSG00000225378	26671254	26674464	-1		antisense_RNA
ENSG00000225024	26678219	26678510	-1		processed_pseudogene
ENSG00000171303	26692690	26733420	1	KCNK3	protein_coding
ENSG00000213699	26764284	26781231	1	SLC35F6	protein_coding
ENSG00000115163	26764289	26801067	1	CENPA	protein_coding
ENSG00000145835	26827169	26827520	-1	CDKN2AIPNLP2	processed_pseudogene
ENSG00000157851	26847747	26950351	1	DPYSL5	protein_coding
ENSG00000230286	26950308	27009807	-1		antisense_RNA
ENSG00000084764	26970612	27027196	1	MAPRE3	protein_coding
ENSG00000205500	26984776	27014612	-1		processed_transcript
ENSG00000119777	27032910	27041695	1	TMEM214	protein_coding
ENSG00000084693	27042364	27070622	1	AGBL5	protein_coding
ENSG00000231636	27049683	27050264	-1	AGBL5-AS1	antisense_RNA
ENSG00000272056	27053618	27054276	-1		antisense_RNA
ENSG00000229122	27061038	27061815	1	AGBL5-IT1	sense_intronic
ENSG00000272148	27062428	27062907	-1		antisense_RNA
ENSG00000228474	27070472	27071773	-1	OST4	protein_coding
ENSG00000138080	27078567	27086408	1	EMILIN1	protein_coding
ENSG00000138030	27086747	27100772	1	KHK	protein_coding
ENSG00000138028	27098889	27119115	-1	CGREF1	protein_coding
ENSG00000143994	27123789	27130812	1	ABHD1	protein_coding
ENSG00000138073	27130756	27134675	-1	PREB	protein_coding
ENSG00000186143	27136848	27139410	-1	PRR30	protein_coding
ENSG00000163792	27149004	27156974	1	TCF23	protein_coding
ENSG00000236099	27158563	27159229	-1		unprocessed_pseudogene
ENSG00000138074	27199587	27212958	-1	SLC5A6	protein_coding
ENSG00000138085	27212027	27217178	1	ATRAID	protein_coding
ENSG00000084774	27217390	27243943	1	CAD	protein_coding
ENSG00000115194	27253684	27275817	-1	SLC30A3	protein_coding
ENSG00000163793	27275421	27281499	1	DNAJC5G	protein_coding
ENSG00000138100	27282392	27307439	1	TRIM54	protein_coding
ENSG00000163794	27307400	27308445	-1	UCN	protein_coding
ENSG00000115204	27309492	27325680	-1	MPV17	protein_coding
ENSG00000115207	27325849	27357034	-1	GTF3C2	protein_coding
ENSG00000234945	27335535	27342599	1	GTF3C2-AS1	antisense_RNA
ENSG00000234072	27356246	27367622	1		antisense_RNA
ENSG00000115211	27364352	27370486	-1	EIF2B4	protein_coding
ENSG00000115234	27370496	27377533	1	SNX17	protein_coding
ENSG00000163795	27377231	27380790	-1	ZNF513	protein_coding
ENSG00000115241	27381194	27409687	-1	PPM1G	protein_coding
ENSG00000213453	27392784	27393367	-1	FTH1P3	processed_pseudogene
ENSG00000115216	27427790	27442259	1	NRBP1	protein_coding
ENSG00000157992	27442366	27446481	1	KRTCAP3	protein_coding
ENSG00000138002	27444371	27489789	-1	IFT172	protein_coding
ENSG00000235267	27455156	27455862	1		processed_pseudogene
ENSG00000200003	27475494	27475595	-1	RNU6-986P	snRNA
ENSG00000115226	27491883	27495245	-1	FNDC4	protein_coding
ENSG00000084734	27496842	27523684	1	GCKR	protein_coding
ENSG00000221843	27537386	27582721	1	C2orf16	protein_coding
ENSG00000243943	27582969	27623215	1	ZNF512	protein_coding
ENSG00000259080	27583046	27635174	1		processed_transcript
ENSG00000176714	27625639	27629012	-1	CCDC121	protein_coding
ENSG00000198522	27628247	27651508	1	GPN1	protein_coding
ENSG00000206731	27642043	27642169	-1		snoRNA
ENSG00000119760	27650812	27663840	-1	SUPT7L	protein_coding
ENSG00000163798	27663471	27694976	1	SLC4A1AP	protein_coding
ENSG00000205334	27705786	27715732	-1	LINC01460	lincRNA
ENSG00000243147	27771717	27988087	1	MRPL33	protein_coding
ENSG00000171174	27781364	27891098	-1	RBKS	protein_coding
ENSG00000158019	27889941	28338901	1	BABAM2	protein_coding
ENSG00000270846	27896116	27897195	-1		processed_pseudogene
ENSG00000265321	27996367	27996449	1	MIR4263	miRNA
