sym    name	start	end	TAD
SLC32A1	solute carrier family 32 member 1	38724462	38729372	63
ACTR5	ARP5 actin related protein 5 homolog	38748442	38772520	63
PPP1R16B	protein phosphatase 1 regulatory subunit 16B	38805705	38923024	63
FAM83D	family with sequence similarity 83 member D	38926312	38953106	63
DHX35	DEAH-box helicase 35	38962299	39039723	63
MAFB	MAF bZIP transcription factor B	40685848	40689240	66
TOP1	DNA topoisomerase I	41028818	41124487	66
PLCG1	phospholipase C gamma 1	41136960	41196801	66
ZHX3	zinc fingers and homeoboxes 3	41178448	41317672	66
LPIN3	lipin 3	41340920	41360582	66
EMILIN3	elastin microfibril interfacer 3	41359966	41366827	66
CHD6	chromodomain helicase DNA binding protein 6	41402101	41618494	66
SRSF6	serine and arginine rich splicing factor 6	43457928	43464247	72
GDAP1L1	ganglioside induced differentiation associated protein 1 like 1	44247099	44280917	74
FITM2	fat storage inducing transmembrane protein 2	44302838	44311169	74
R3HDML	R3H domain containing like	44336986	44351235	74
TOMM34	translocase of outer mitochondrial membrane 34	44942130	44960486	75
SEMG1	semenogelin 1	45206997	45209772	76
SEMG2	semenogelin 2	45221300	45224458	76
SLPI	secretory leukocyte peptidase inhibitor	45252239	45254564	76
MATN4	matrilin 4	45293445	45308529	76
RBPJL	recombination signal binding protein for immunoglobulin kappa J region like	45306851	45317824	76
DBNDD2	dysbindin domain containing 2	45406057	45410610	77
PIGT	phosphatidylinositol glycan anchor biosynthesis class T	45416067	45456934	77
WFDC2	WAP four-disulfide core domain 2	45469706	45481532	77
SPINT3	serine peptidase inhibitor, Kunitz type 3	45512461	45515624	77
WFDC6	WAP four-disulfide core domain 6	45534196	45539495	77
EPPIN	epididymal peptidase inhibitor	45540626	45547752	77
WFDC8	WAP four-disulfide core domain 8	45551153	45579326	77
WFDC9	WAP four-disulfide core domain 9	45607939	45631268	77
WFDC10A	WAP four-disulfide core domain 10A	45629526	45631196	77
CTSA	cathepsin A	45890144	45898820	78
PLTP	phospholipid transfer protein	45898621	45912155	78
PCIF1	PDX1 C-terminal inhibiting factor 1	45934628	45948023	78
ZNF335	zinc finger protein 335	45948653	45972172	78
MMP9	matrix metallopeptidase 9	46008908	46016561	78
ZNF334	zinc finger protein 334	46499630	46513559	79
OCSTAMP	osteoclast stimulatory transmembrane protein	46540946	46550574	79
SLC13A3	solute carrier family 13 member 3	46557823	46684467	79
TP53RK	TP53 regulating kinase	46684365	46689779	79
SLC2A10	solute carrier family 2 member 10	46709487	46736347	79
EYA2	EYA transcriptional coactivator and phosphatase 2	46894624	47188844	79
ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	48921890	49036693	86
STAU1	staufen double-stranded RNA binding protein 1	49113339	49188367	87
B4GALT5	beta-1,4-galactosyltransferase 5	49632945	49713878	88
SLC9A8	solute carrier family 9 member A8	49812713	49892242	88
SPATA2	spermatogenesis associated 2	49903391	49915508	88
UBE2V1	ubiquitin conjugating enzyme E2 V1	50081124	50115959	89
TMEM189	transmembrane protein 189	50118254	50153734	89
CEBPB	CCAAT enhancer binding protein beta	50190734	50192689	89
ZNF217	zinc finger protein 217	53567065	53609907	94
BCAS1	breast carcinoma amplified sequence 1	53936777	54070594	94
CYP24A1	cytochrome P450 family 24 subfamily A member 1	54153449	54173973	94
PFDN4	prefoldin subunit 4	54207847	54228052	94
DOK5	docking protein 5	54475597	54651171	94
CBLN4	cerebellin 4 precursor	55997440	56005472	97
MC3R	melanocortin 3 receptor	56248732	56249815	98
FAM210B	family with sequence similarity 210 member B	56358915	56368663	98
AURKA	aurora kinase A	56369389	56392337	98
CSTF1	cleavage stimulation factor subunit 1	56392371	56406369	98
CASS4	Cas scaffold protein family member 4	56412112	56460387	98
RTF2	replication termination factor 2	56468585	56519449	98
GCNT7	glucosaminyl (N-acetyl) transferase family member 7	56491492	56525925	98
FAM209A	family with sequence similarity 209 member A	56517187	56526142	98
FAM209B	family with sequence similarity 209 member B	56533246	56536520	98
TFAP2C	transcription factor AP-2 gamma	56629302	56639283	98
CTCFL	CCCTC-binding factor like	57495966	57525652	100
ANKRD60	ankyrin repeat domain 60	58218495	58228653	102
GNAS	GNAS complex locus	58839718	58911192	103
NELFCD	negative elongation factor complex member C/D	58981208	58995133	103
CTSZ	cathepsin Z	58995185	59007247	103
TUBB1	tubulin beta 1 class VI	59019254	59026654	103
ATP5F1E	ATP synthase F1 subunit epsilon	59025467	59032382	103
PRELID3B	PRELI domain containing 3B	59033145	59042909	103
ZNF831	zinc finger protein 831	59123381	59259113	103
EDN3	endothelin 3	59300427	59325992	103
PHACTR3	phosphatase and actin regulator 3	59577509	59847711	103
SYCP2	synaptonemal complex protein 2	59863563	59933655	103
FAM217B	family with sequence similarity 217 member B	59933764	59948680	103
PPP1R3D	protein phosphatase 1 regulatory subunit 3D	59936668	59940297	103
CDH26	cadherin 26	59958427	60034011	103
RPS21	ribosomal protein S21	62387116	62388520	106
CABLES2	Cdk5 and Abl enzyme substrate 2	62388632	62407285	106
RBBP8NL	RBBP8 N-terminal like	62410237	62427533	106
GATA5	GATA binding protein 5	62463497	62475970	106
